sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I46 - BOYA","I47 - BOYA","I48 - BOYA"
2026-06-30 21:00:00,3.01,,Full,Medio +,LLeno,5.63,LLeno,,Full,
2026-06-30 23:00:00,2.32,,Full,Medio +,5.59,Medio +,5.95,,Full,
2026-07-01 01:00:00,6.20,,Full,Medio +,4.74,Medio +,Medio +,,,
2026-07-01 03:00:00,6.00,,Full,Medio +,4.57,Medio +,Medio +,,,
2026-07-01 05:00:00,5.97,,Full,Medio +,4.42,Medio +,Medio +,,,
2026-07-01 07:00:00,LLeno,,6.99,4.53,2.70,Medio +,Medio +,,,
2026-07-01 09:00:00,LLeno,,Full,3.28,6.13,4.90,Medio +,,,
2026-07-01 11:00:00,4.82,,6.96,2.14,LLeno,3.77,4.99,,6.95,
2026-07-01 13:00:00,3.21,,Full,6.24,LLeno,4.22,3.49,,,
2026-07-01 15:00:00,3.32,,Full,5.95,LLeno,6.37,3.40,,,
2026-07-01 17:00:00,3.17,,Full,LLeno,5.74,LLeno,6.16,,,
2026-07-01 19:00:00,3.22,,Full,LLeno,3.55,LLeno,LLeno,,Full,
2026-07-01 21:00:00,3.12,,Full,LLeno,4.90,LLeno,LLeno,,,
2026-07-01 23:00:00,2.36,,Full,5.90,4.35,5.92,LLeno,,,
2026-07-02 01:00:00,5.11,,Full,5.06,4.27,5.05,5.57,,,
2026-07-02 03:00:00,6.09,,Full,5.27,4.30,Medio +,Medio +,,,
2026-07-02 05:00:00,5.97,,Full,5.25,3.21,Medio +,Medio +,,,
2026-07-02 07:00:00,LLeno,,Full,5.58,Medio +,Medio +,Medio +,,,
2026-07-02 09:00:00,LLeno,,Full,Medio +,4.84,Medio +,Medio +,,,
2026-07-02 11:00:00,4.92,,Full,4.30,Medio ,5.06,Medio +,,,
2026-07-02 13:00:00,Medio -,,Full,3.03,3.88,6.49,4.96,,,
2026-07-02 15:00:00,Medio -,,Full,4.57,6.58,LLeno,4.93,,,
2026-07-02 17:00:00,2.98,,Full,6.41,6.03,LLeno,6.11,,,
2026-07-02 19:00:00,Medio -,,Full,6.00,LLeno,LLeno,LLeno,,,
2026-07-02 21:00:00,3.36,,Full,5.73,LLeno,LLeno,LLeno,,,
2026-07-02 23:00:00,2.93,,Full,,LLeno,5.08,5.97,,,
2026-07-03 01:00:00,5.84,,Full,,LLeno,Medio +,5.09,,,
2026-07-03 03:00:00,6.27,,Full,LLeno,4.73,Medio +,Medio +,,,
2026-07-03 05:00:00,5.97,,Full,LLeno,4.01,Medio +,Medio +,,,
2026-07-03 07:00:00,LLeno,,Full,LLeno,4.59,Medio +,Medio +,,,
2026-07-03 09:00:00,LLeno,,Full,5.81,3.73,Medio +,Medio +,,,
2026-07-03 11:00:00,5.15,,6.98,5.06,4.84,4.49,4.25,,,
2026-07-03 13:00:00,Medio -,,Full,4.99,6.65,Full,3.31,,,
2026-07-03 15:00:00,Medio -,,Full,5.53,6.09,6.21,6.31,,,
2026-07-03 17:00:00,3.19,,6.79,6.14,LLeno,LLeno,LLeno,,,
2026-07-03 19:00:00,Full,,6.97,5.95,LLeno,LLeno,LLeno,,,
