sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I48 - BOYA"
2026-09-09 11:06:40,,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:07:00,Full,Medio +,,Medio +,,,Medio +,Medio +
2026-09-09 11:07:20,Full,Medio +,,Medio +,,,Medio +,Medio +
2026-09-09 11:07:40,Full,Medio +,,,,Medio ,Medio +,
2026-09-09 11:08:00,Full,Medio +,,,,,Medio +,
2026-09-09 11:08:20,Full,Medio +,,Medio +,Medio +,,Medio +,Medio +
2026-09-09 11:08:40,Full,Medio +,,Medio +,,Medio ,Medio +,
2026-09-09 11:09:00,Full,Medio +,,Medio +,,,Medio +,
2026-09-09 11:09:20,Full,Medio +,,Medio +,,,Medio +,Medio +
2026-09-09 11:09:40,Full,Medio +,,Medio +,,,Medio +,Medio +
2026-09-09 11:10:00,Full,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:10:20,Full,Medio +,,Medio +,,,Medio +,Medio +
2026-09-09 11:10:40,Full,Medio +,,Medio +,,,Medio +,Medio +
2026-09-09 11:11:00,Full,Medio +,,Medio +,Medio +,Medio ,Medio +,Medio +
2026-09-09 11:11:20,Full,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:11:40,Full,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:12:00,Full,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:12:20,Full,Medio +,,Medio +,,Medio ,Medio +,Medio +
2026-09-09 11:12:40,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:13:00,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:13:20,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:13:40,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:14:00,Full,Medio +,,,Medio +,Medio ,Medio +,Medio +
2026-09-09 11:14:20,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:14:40,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:15:00,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:15:20,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:15:40,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:16:00,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:16:20,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:16:40,Full,Medio +,,,,Medio ,Medio +,Medio +
2026-09-09 11:17:00,Full,,,,Medio +,Medio ,Medio +,
