"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-25 11:00:00,0.240 Mpa,,0.180 Mpa,0.382 Mpa,0.0442 Mpa,0.281 Mpa,0.0791 Mpa,0.307 Mpa,,7.94%,,3.80%,7.97%,1.90%,3.53%,3.61%,5.04%,
2026-06-25 13:00:00,0.0605 Mpa,,0.173 Mpa,0.187 Mpa,0.0932 Mpa,0.582 Mpa,2.07 Mpa,0.269 Mpa,,4.99%,,4.82%,2.73%,4.56%,11.0%,62.1%,4.65%,
2026-06-25 15:00:00,0.153 Mpa,0.439 Mpa,0.197 Mpa,0.352 Mpa,0.0238 Mpa,0.312 Mpa,0.383 Mpa,0.263 Mpa,,6.94%,15.5%,5.90%,7.23%,1.77%,24.4%,9.12%,4.48%,
2026-06-25 17:00:00,0.240 Mpa,0.460 Mpa,0.118 Mpa,0.251 Mpa,0.0961 Mpa,0.267 Mpa,0.339 Mpa,0.262 Mpa,,8.87%,3.36%,2.81%,3.75%,3.99%,2.92%,6.10%,9.32%,
2026-06-25 19:00:00,0.152 Mpa,,0.296 Mpa,0.0785 Mpa,0.189 Mpa,0.314 Mpa,0.488 Mpa,0.217 Mpa,,6.35%,,7.84%,0.439%,5.37%,4.35%,10.1%,13.3%,
2026-06-25 21:00:00,0.221 Mpa,,0.386 Mpa,0.305 Mpa,0.288 Mpa,0.286 Mpa,0.301 Mpa,0.218 Mpa,,7.06%,,11.7%,5.37%,7.99%,2.86%,3.85%,4.19%,
2026-06-25 23:00:00,0.328 Mpa,,0.0418 Mpa,0.398 Mpa,0.0906 Mpa,0.233 Mpa,0.324 Mpa,0.546 Mpa,,11.2%,,1.000%,7.73%,3.15%,1.68%,4.51%,16.0%,
2026-06-26 01:00:00,0.184 Mpa,0.467 Mpa,,0.253 Mpa,0.0271 Mpa,0.279 Mpa,0.190 Mpa,0.347 Mpa,,5.06%,0.433%,,4.56%,0.789%,2.40%,0.941%,5.81%,
2026-06-26 03:00:00,0.0796 Mpa,,0.0883 Mpa,0.231 Mpa,0.0526 Mpa,0.246 Mpa,0.217 Mpa,0.250 Mpa,,1.94%,,3.60%,3.61%,1.10%,1.99%,1.68%,4.67%,
2026-06-26 05:00:00,0.268 Mpa,,,0.168 Mpa,0.0951 Mpa,0.321 Mpa,0.497 Mpa,0.293 Mpa,,6.86%,,,1.48%,2.92%,3.22%,10.7%,5.88%,
2026-06-26 07:00:00,0.280 Mpa,,,0.178 Mpa,0.218 Mpa,0.282 Mpa,0.190 Mpa,0.262 Mpa,,8.45%,,,1.68%,6.93%,2.15%,2.88%,3.33%,
2026-06-26 09:00:00,0.0767 Mpa,,,0.350 Mpa,0.113 Mpa,0.311 Mpa,0.215 Mpa,0.385 Mpa,,2.98%,,,6.85%,4.30%,3.76%,2.58%,6.94%,
2026-06-26 11:00:00,0.0541 Mpa,,,0.553 Mpa,0.0705 Mpa,0.428 Mpa,0.227 Mpa,0.333 Mpa,,1.84%,,,12.4%,2.63%,6.05%,6.67%,5.47%,
