"Time","P_BW - I38","P_BW - I39","P_BW - I40","P_BW - I41","P_BW - I42","P_BW - I43","P_BW - I44","P_BW - I47","P_BW - I48","%BW - I38","%BW - I39","%BW - I40","%BW - I41","%BW - I42","%BW - I43","%BW - I44","%BW - I47","%BW - I48"
2026-06-25 23:00:00,0.277 Mpa,,0.0200 Mpa,0.222 Mpa,0.192 Mpa,0.264 Mpa,0.339 Mpa,0.286 Mpa,,7.38%,,0%,2.78%,5.53%,2.23%,9.77%,3.98%,
2026-06-26 01:00:00,0.0702 Mpa,0.464 Mpa,,0.394 Mpa,0.0582 Mpa,0.288 Mpa,0.186 Mpa,0.380 Mpa,,3.66%,7.78%,,7.83%,1.36%,3.61%,5.86%,7.34%,
2026-06-26 03:00:00,0.0686 Mpa,,0.427 Mpa,0.203 Mpa,0.0974 Mpa,0.256 Mpa,0.224 Mpa,0.194 Mpa,,2.96%,,10.5%,2.67%,2.44%,2.41%,6.45%,1.08%,
2026-06-26 05:00:00,0.101 Mpa,,,0.231 Mpa,0.159 Mpa,0.276 Mpa,0.294 Mpa,0.247 Mpa,,4.14%,,,3.09%,4.35%,4.10%,7.51%,2.76%,
2026-06-26 07:00:00,0.184 Mpa,,,0.235 Mpa,0.154 Mpa,0.349 Mpa,0.395 Mpa,0.303 Mpa,,5.98%,,,3.20%,3.82%,5.32%,10.4%,4.47%,
2026-06-26 09:00:00,0.0486 Mpa,,,0.208 Mpa,0.129 Mpa,0.361 Mpa,0.198 Mpa,0.328 Mpa,,2.67%,,,2.64%,3.10%,5.56%,5.92%,5.01%,
2026-06-26 11:00:00,0.0793 Mpa,,,0.257 Mpa,0.0689 Mpa,0.285 Mpa,0.234 Mpa,0.398 Mpa,,3.61%,,,3.96%,1.56%,3.97%,5.76%,7.08%,
2026-06-26 13:00:00,0.0582 Mpa,0.456 Mpa,,0.346 Mpa,0.0845 Mpa,0.364 Mpa,0.572 Mpa,0.289 Mpa,,2.35%,2.40%,,6.69%,1.81%,5.90%,14.9%,3.40%,
2026-06-26 15:00:00,0.0621 Mpa,0.0159 Mpa,,0.184 Mpa,0.248 Mpa,0.639 Mpa,0.236 Mpa,0.253 Mpa,,3.10%,0.183%,,2.03%,6.71%,12.1%,6.39%,4.36%,
2026-06-26 17:00:00,0.0384 Mpa,0.00205 Mpa,,0.176 Mpa,0.119 Mpa,0.300 Mpa,0.276 Mpa,0.194 Mpa,,2.60%,0%,,2.43%,3.49%,3.23%,7.19%,2.30%,
2026-06-26 19:00:00,0.101 Mpa,0.0802 Mpa,,0.268 Mpa,0.0766 Mpa,0.248 Mpa,0.223 Mpa,0.285 Mpa,,4.11%,5.46%,,5.12%,1.82%,3.53%,3.27%,5.49%,
