"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48"
2026-07-07 04:00:00,0.123 Mpa,,0.116 Mpa,0.246 Mpa,0.135 Mpa,0.358 Mpa,0.215 Mpa,,
2026-07-07 07:00:00,0.0751 Mpa,,0.339 Mpa,0.0861 Mpa,0.216 Mpa,0.277 Mpa,0.270 Mpa,,
2026-07-07 10:00:00,0.108 Mpa,,0.197 Mpa,0.364 Mpa,0.109 Mpa,,0.370 Mpa,,
2026-07-07 13:00:00,0.127 Mpa,,0.402 Mpa,,0.341 Mpa,1.54 Mpa,0.316 Mpa,,
2026-07-07 16:00:00,0.114 Mpa,,0.236 Mpa,0.182 Mpa,0.0757 Mpa,0.583 Mpa,0.294 Mpa,,
2026-07-07 19:00:00,0.107 Mpa,,0.0654 Mpa,0.192 Mpa,0.0876 Mpa,0.371 Mpa,0.283 Mpa,,
2026-07-07 22:00:00,0.116 Mpa,,0.0720 Mpa,0.170 Mpa,0.0352 Mpa,0.287 Mpa,0.315 Mpa,,
2026-07-08 01:00:00,0.210 Mpa,,0.154 Mpa,0.106 Mpa,0.210 Mpa,0.329 Mpa,0.322 Mpa,,
2026-07-08 04:00:00,0.0963 Mpa,,0.156 Mpa,,0.345 Mpa,0.289 Mpa,0.248 Mpa,,
2026-07-08 07:00:00,0.0835 Mpa,,0.165 Mpa,0.313 Mpa,0.201 Mpa,0.298 Mpa,0.363 Mpa,,
2026-07-08 10:00:00,0.0927 Mpa,,0.0671 Mpa,,0.163 Mpa,0.429 Mpa,0.490 Mpa,,
